0 1 0 line 0 0 0 20 20.00 46.10
0 1 1 line 19 0 19 8 8.00 46.10
0 1 2 line 0 20 19 8 22.47 46.10
0 1 3 line 0 20 8 42 23.41 46.10
0 1 4 line 19 8 8 42 35.74 46.10
1 1 0 line 0 0 0 12 12.00 37.66
1 1 1 line 7 0 7 7 7.00 37.66
1 1 2 line 0 12 7 7 8.60 37.66
1 1 3 line 0 12 1 35 23.02 37.66
1 1 4 line 7 7 5 30 23.09 37.66
1 1 5 line 1 35 2 37 2.24 37.66
1 1 6 line 2 37 5 30 7.62 37.66
2 1 0 line 0 0 0 20 20.00 43.05
2 1 1 line 19 0 20 11 11.05 43.05
2 1 2 line 0 20 20 11 21.93 43.05
2 1 3 line 0 20 0 37 17.00 43.05
2 1 4 line 20 11 22 22 11.18 43.05
2 1 5 line 0 37 22 22 26.63 43.05
3 1 0 line 0 0 0 7 7.00 25.00
3 1 1 line 6 0 6 7 7.00 25.00
3 1 2 line 0 7 6 7 6.00 25.00
3 1 3 line 0 7 1 24 17.03 25.00
3 1 4 line 6 7 7 24 17.03 25.00
3 1 5 line 1 24 2 24 1.00 25.00
3 1 6 line 2 24 7 24 5.00 25.00
4 1 0 line 0 0 0 7 7.00 40.00
4 1 1 line 21 0 22 11 11.05 40.00
4 1 2 line 0 7 22 11 22.36 40.00
4 1 3 line 0 7 2 15 8.25 40.00
4 1 4 line 22 11 24 32 21.10 40.00
4 1 5 line 2 15 24 32 27.80 40.00
5 1 0 line 0 0 0 6 6.00 26.00
5 1 1 line 10 0 10 7 7.00 26.00
5 1 2 line 0 6 10 7 10.05 26.00
5 1 3 line 0 6 1 13 7.07 26.00
5 1 4 line 10 7 9 24 17.03 26.00
5 1 5 line 1 13 5 22 9.85 26.00
5 1 6 line 5 22 9 24 4.47 26.00
6 1 0 line 0 0 0 22 22.00 41.59
6 1 1 line 18 0 19 11 11.05 41.59
6 1 2 line 0 22 19 11 21.95 41.59
6 1 3 line 0 22 1 37 15.03 41.59
6 1 4 line 19 11 17 30 19.10 41.59
6 1 5 line 1 37 17 30 17.46 41.59
7 1 0 line 0 0 0 24 24.00 49.74
7 1 1 line 24 0 25 17 17.03 49.74
7 1 2 line 0 24 25 17 25.96 49.74
7 1 3 line 0 24 2 34 10.20 49.74
7 1 4 line 25 17 24 40 23.02 49.74
7 1 5 line 2 34 9 43 11.40 49.74
7 1 6 line 9 43 24 40 15.30 49.74
